,priceList,departureOperatorList,returnOperatorList,departureDateList,returnDateList,daysToFlight
451,774,Ryanair,Ryanair,2023-07-05,2023-07-07,30
452,595,Wizz Air,LOT,2023-07-05,2023-07-07,30
453,616,Wizz Air,LOT,2023-07-05,2023-07-07,30
454,660,Wizz Air,Wizz Air,2023-07-05,2023-07-07,30
455,696,Wizz Air,Ryanair,2023-07-05,2023-07-07,30
456,552,Ryanair,Ryanair,2023-07-06,2023-07-08,31
457,542,Ryanair,Wizz Air,2023-07-06,2023-07-08,31
458,587,Ryanair,Ryanair,2023-07-06,2023-07-08,31
459,570,Ryanair,Wizz Air,2023-07-06,2023-07-08,31
460,668,Ryanair,Ryanair,2023-07-06,2023-07-08,31
461,774,Ryanair,Ryanair,2023-07-06,2023-07-08,31
462,748,Ryanair,Wizz Air,2023-07-06,2023-07-08,31
463,725,Lufthansa,Lufthansa,2023-07-06,2023-07-08,31
464,756,Lufthansa,Lufthansa,2023-07-06,2023-07-08,31
465,769,Lufthansa,Lufthansa,2023-07-06,2023-07-08,31
466,729,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-06,2023-07-08,31
467,762,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-06,2023-07-08,31
468,731,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-06,2023-07-08,31
469,898,Lufthansa,Ryanair,2023-07-06,2023-07-08,31
470,921,Lufthansa,Ryanair,2023-07-06,2023-07-08,31
471,509,Ryanair,Ryanair,2023-07-07,2023-07-09,32
472,465,Wizz Air,Ryanair,2023-07-07,2023-07-09,32
473,513,Ryanair,Ryanair,2023-07-07,2023-07-09,32
474,514,Ryanair,Wizz Air,2023-07-07,2023-07-09,32
475,471,Wizz Air,Ryanair,2023-07-07,2023-07-09,32
476,629,Ryanair,Ryanair,2023-07-07,2023-07-09,32
477,489,Wizz Air,Wizz Air,2023-07-07,2023-07-09,32
478,579,Wizz Air,Ryanair,2023-07-07,2023-07-09,32
479,707,Ryanair,Wizz Air,2023-07-07,2023-07-09,32
480,668,Wizz Air,Wizz Air,2023-07-07,2023-07-09,32
481,773,Ryanair,Ryanair,2023-07-07,2023-07-09,32
482,717,Wizz Air,Ryanair,2023-07-07,2023-07-09,32
483,601,Wizz Air,LOT,2023-07-07,2023-07-09,32
484,625,Wizz Air,LOT,2023-07-07,2023-07-09,32
485,629,Wizz Air,Ryanair,2023-07-07,2023-07-09,32
486,458,Ryanair,Ryanair,2023-07-08,2023-07-10,33
487,492,Ryanair,Wizz Air,2023-07-08,2023-07-10,33
488,495,Ryanair,Ryanair,2023-07-08,2023-07-10,33
489,537,Ryanair,Ryanair,2023-07-08,2023-07-10,33
490,594,Ryanair,Ryanair,2023-07-08,2023-07-10,33
491,698,Ryanair,Wizz Air,2023-07-08,2023-07-10,33
492,489,Ryanair,Wizz Air,2023-07-08,2023-07-10,33
493,608,Ryanair,Ryanair,2023-07-08,2023-07-10,33
494,668,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-08,2023-07-10,33
495,697,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-08,2023-07-10,33
496,701,Ryanair,Trenitalia,2023-07-08,2023-07-10,33
497,727,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-08,2023-07-10,33
498,733,Ryanair,Aeroitalia,2023-07-08,2023-07-10,33
499,748,LOT,Wizz Air,2023-07-08,2023-07-10,33
500,750,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-08,2023-07-10,33
501,473,Wizz Air,Ryanair,2023-07-09,2023-07-11,34
502,434,Wizz Air,Ryanair,2023-07-09,2023-07-11,34
503,500,Wizz Air,Ryanair,2023-07-09,2023-07-11,34
504,511,Wizz Air,Wizz Air,2023-07-09,2023-07-11,34
505,538,Ryanair,Ryanair,2023-07-09,2023-07-11,34
506,574,Ryanair,Ryanair,2023-07-09,2023-07-11,34
507,590,Ryanair,Wizz Air,2023-07-09,2023-07-11,34
508,601,Ryanair,Ryanair,2023-07-09,2023-07-11,34
509,638,Ryanair,Wizz Air,2023-07-09,2023-07-11,34
510,740,Ryanair,Ryanair,2023-07-09,2023-07-11,34
511,537,Wizz Air,Wizz Air,2023-07-09,2023-07-11,34
512,636,Wizz Air,Ryanair,2023-07-09,2023-07-11,34
513,823,Ryanair,Wizz Air,2023-07-09,2023-07-11,34
514,664,Wizz Air,Ryanair,2023-07-09,2023-07-11,34
515,692,Wizz Air,LOT,2023-07-09,2023-07-11,34
516,345,Wizz Air,Ryanair,2023-07-10,2023-07-12,35
517,370,Ryanair,Ryanair,2023-07-10,2023-07-12,35
518,390,Wizz Air,Ryanair,2023-07-10,2023-07-12,35
519,414,Ryanair,Ryanair,2023-07-10,2023-07-12,35
520,416,Ryanair,Ryanair,2023-07-10,2023-07-12,35
521,408,Wizz Air,Wizz Air,2023-07-10,2023-07-12,35
522,417,Wizz Air,Ryanair,2023-07-10,2023-07-12,35
523,424,Ryanair,Wizz Air,2023-07-10,2023-07-12,35
524,450,Ryanair,Ryanair,2023-07-10,2023-07-12,35
525,398,Wizz Air,Ryanair,2023-07-10,2023-07-12,35
526,526,Wizz Air,Wizz Air,2023-07-10,2023-07-12,35
527,544,Ryanair,Wizz Air,2023-07-10,2023-07-12,35
528,506,Ryanair,Ryanair,2023-07-10,2023-07-12,35
529,585,Ryanair,Aeroitalia,2023-07-10,2023-07-12,35
530,593,Wizz Air,Ryanair,2023-07-10,2023-07-12,35
531,353,Ryanair,Ryanair,2023-07-11,2023-07-13,36
532,386,Ryanair,Ryanair,2023-07-11,2023-07-13,36
533,398,Ryanair,Ryanair,2023-07-11,2023-07-13,36
534,404,Ryanair,Wizz Air,2023-07-11,2023-07-13,36
535,431,Ryanair,Ryanair,2023-07-11,2023-07-13,36
536,504,Ryanair,Wizz Air,2023-07-11,2023-07-13,36
537,538,Ryanair,Ryanair,2023-07-11,2023-07-13,36
538,566,Ryanair,Ryanair,2023-07-11,2023-07-13,36
539,594,Ryanair,Ryanair,2023-07-11,2023-07-13,36
540,612,Ryanair,Ryanair,2023-07-11,2023-07-13,36
541,612,Ryanair,Trenitalia,2023-07-11,2023-07-13,36
542,634,Ryanair,Ryanair,2023-07-11,2023-07-13,36
543,634,Ryanair,Ryanair,2023-07-11,2023-07-13,36
544,634,Ryanair,Ryanair,2023-07-11,2023-07-13,36
545,655,Ryanair,Wizz Air,2023-07-11,2023-07-13,36
546,372,Ryanair,Ryanair,2023-07-12,2023-07-14,37
547,415,Ryanair,Ryanair,2023-07-12,2023-07-14,37
548,445,Wizz Air,Ryanair,2023-07-12,2023-07-14,37
549,451,Ryanair,Ryanair,2023-07-12,2023-07-14,37
550,491,Wizz Air,Ryanair,2023-07-12,2023-07-14,37
551,448,Ryanair,Ryanair,2023-07-12,2023-07-14,37
552,515,Ryanair,Wizz Air,2023-07-12,2023-07-14,37
553,509,Wizz Air,Ryanair,2023-07-12,2023-07-14,37
554,598,Wizz Air,Wizz Air,2023-07-12,2023-07-14,37
555,430,Ryanair,Wizz Air,2023-07-12,2023-07-14,37
556,503,Ryanair,Wizz Air,2023-07-12,2023-07-14,37
557,530,Wizz Air,Ryanair,2023-07-12,2023-07-14,37
558,581,Wizz Air,Wizz Air,2023-07-12,2023-07-14,37
559,497,Ryanair,Ryanair,2023-07-12,2023-07-14,37
560,528,Ryanair,Ryanair,2023-07-12,2023-07-14,37
561,420,Ryanair,Ryanair,2023-07-13,2023-07-15,38
562,425,Ryanair,Ryanair,2023-07-13,2023-07-15,38
563,451,Ryanair,Ryanair,2023-07-13,2023-07-15,38
564,476,Ryanair,Wizz Air,2023-07-13,2023-07-15,38
565,521,Ryanair,Wizz Air,2023-07-13,2023-07-15,38
566,439,Ryanair,Ryanair,2023-07-13,2023-07-15,38
567,481,Ryanair,Wizz Air,2023-07-13,2023-07-15,38
568,570,Ryanair,Ryanair,2023-07-13,2023-07-15,38
569,599,Ryanair,Ryanair,2023-07-13,2023-07-15,38
570,633,Ryanair,Ryanair,2023-07-13,2023-07-15,38
571,634,Ryanair,Ryanair,2023-07-13,2023-07-15,38
572,634,Ryanair,Ryanair,2023-07-13,2023-07-15,38
573,635,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-13,2023-07-15,38
574,646,Ryanair,Ryanair,2023-07-13,2023-07-15,38
575,649,Ryanair,Wizz Air Malta,2023-07-13,2023-07-15,38
576,429,Wizz Air,Ryanair,2023-07-14,2023-07-16,39
577,439,Wizz Air,Ryanair,2023-07-14,2023-07-16,39
578,463,Ryanair,Ryanair,2023-07-14,2023-07-16,39
579,454,Wizz Air,Ryanair,2023-07-14,2023-07-16,39
580,458,Wizz Air,Ryanair,2023-07-14,2023-07-16,39
581,480,Ryanair,Ryanair,2023-07-14,2023-07-16,39
582,482,Ryanair,Ryanair,2023-07-14,2023-07-16,39
583,490,Ryanair,Ryanair,2023-07-14,2023-07-16,39
584,465,Wizz Air,Wizz Air,2023-07-14,2023-07-16,39
585,478,Wizz Air,Wizz Air,2023-07-14,2023-07-16,39
586,496,Ryanair,Wizz Air,2023-07-14,2023-07-16,39
587,511,Ryanair,Wizz Air,2023-07-14,2023-07-16,39
588,781,Lufthansa,Lufthansa,2023-07-14,2023-07-16,39
589,614,Wizz Air,Ryanair,2023-07-14,2023-07-16,39
590,613,Wizz Air,Ryanair,2023-07-14,2023-07-16,39
591,442,Ryanair,Ryanair,2023-07-15,2023-07-17,40
592,470,Ryanair,Ryanair,2023-07-15,2023-07-17,40
593,472,Ryanair,Ryanair,2023-07-15,2023-07-17,40
594,474,Ryanair,Ryanair,2023-07-15,2023-07-17,40
595,512,Ryanair,Wizz Air,2023-07-15,2023-07-17,40
596,473,Ryanair,Wizz Air,2023-07-15,2023-07-17,40
597,521,Ryanair,Wizz Air,2023-07-15,2023-07-17,40
598,618,Ryanair,Ryanair,2023-07-15,2023-07-17,40
599,907,Lufthansa,Ryanair,2023-07-15,2023-07-17,40
600,919,Lufthansa,Ryanair,2023-07-15,2023-07-17,40
601,929,Lufthansa,Ryanair,2023-07-15,2023-07-17,40
602,939,Lufthansa,Wizz Air,2023-07-15,2023-07-17,40
603,621,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-15,2023-07-17,40
604,692,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-15,2023-07-17,40
605,723,Ryanair,Air Serbia,2023-07-15,2023-07-17,40
606,369,Wizz Air,Ryanair,2023-07-16,2023-07-18,41
607,382,Wizz Air,Ryanair,2023-07-16,2023-07-18,41
608,406,Wizz Air,Ryanair,2023-07-16,2023-07-18,41
609,413,Wizz Air,Wizz Air,2023-07-16,2023-07-18,41
610,461,Wizz Air,Wizz Air,2023-07-16,2023-07-18,41
611,470,Ryanair,Ryanair,2023-07-16,2023-07-18,41
612,481,Ryanair,Ryanair,2023-07-16,2023-07-18,41
613,492,Ryanair,Ryanair,2023-07-16,2023-07-18,41
614,499,Ryanair,Wizz Air,2023-07-16,2023-07-18,41
615,501,Ryanair,Ryanair,2023-07-16,2023-07-18,41
616,544,Ryanair,Wizz Air,2023-07-16,2023-07-18,41
617,397,Wizz Air,Ryanair,2023-07-16,2023-07-18,41
618,551,Ryanair,Wizz Air,2023-07-16,2023-07-18,41
619,591,Wizz Air,Wizz Air Malta,2023-07-16,2023-07-18,41
620,601,Wizz Air,Ryanair,2023-07-16,2023-07-18,41
621,403,Wizz Air,Ryanair,2023-07-17,2023-07-19,42
622,405,Wizz Air,Ryanair,2023-07-17,2023-07-19,42
623,425,Wizz Air,Ryanair,2023-07-17,2023-07-19,42
624,448,Wizz Air,Wizz Air,2023-07-17,2023-07-19,42
625,459,Ryanair,Ryanair,2023-07-17,2023-07-19,42
626,466,Ryanair,Ryanair,2023-07-17,2023-07-19,42
627,468,Ryanair,Ryanair,2023-07-17,2023-07-19,42
628,468,Ryanair,Ryanair,2023-07-17,2023-07-19,42
629,417,Wizz Air,Ryanair,2023-07-17,2023-07-19,42
630,499,Ryanair,Wizz Air,2023-07-17,2023-07-19,42
631,527,Wizz Air,Wizz Air,2023-07-17,2023-07-19,42
632,578,Ryanair,Wizz Air,2023-07-17,2023-07-19,42
633,640,Wizz Air,Air Serbia,2023-07-17,2023-07-19,42
634,656,Wizz Air,Ryanair,2023-07-17,2023-07-19,42
635,664,Wizz Air,LOT,2023-07-17,2023-07-19,42
636,447,Ryanair,Ryanair,2023-07-18,2023-07-20,43
637,449,Ryanair,Ryanair,2023-07-18,2023-07-20,43
638,460,Ryanair,Ryanair,2023-07-18,2023-07-20,43
639,488,Ryanair,Wizz Air,2023-07-18,2023-07-20,43
640,484,Ryanair,Ryanair,2023-07-18,2023-07-20,43
641,538,Ryanair,Wizz Air,2023-07-18,2023-07-20,43
642,594,Ryanair,Ryanair,2023-07-18,2023-07-20,43
643,622,Ryanair,Ryanair,2023-07-18,2023-07-20,43
644,635,Ryanair,Wizz Air Malta,2023-07-18,2023-07-20,43
645,645,Ryanair,Wizz Air Malta,2023-07-18,2023-07-20,43
646,658,Ryanair,Wizz Air Malta,2023-07-18,2023-07-20,43
647,661,Ryanair,Trenitalia,2023-07-18,2023-07-20,43
648,663,Ryanair,Wizz Air Malta,2023-07-18,2023-07-20,43
649,675,Ryanair,Wizz Air Malta,2023-07-18,2023-07-20,43
650,678,Ryanair,Ryanair,2023-07-18,2023-07-20,43
651,353,Wizz Air,Ryanair,2023-07-19,2023-07-21,44
652,390,Wizz Air,Ryanair,2023-07-19,2023-07-21,44
653,401,Ryanair,Ryanair,2023-07-19,2023-07-21,44
654,443,Ryanair,Ryanair,2023-07-19,2023-07-21,44
655,448,Ryanair,Ryanair,2023-07-19,2023-07-21,44
656,474,Wizz Air,Wizz Air,2023-07-19,2023-07-21,44
657,420,Wizz Air,Ryanair,2023-07-19,2023-07-21,44
658,472,Ryanair,Ryanair,2023-07-19,2023-07-21,44
659,401,Wizz Air,Ryanair,2023-07-19,2023-07-21,44
660,502,Ryanair,Wizz Air,2023-07-19,2023-07-21,44
661,508,Wizz Air,Wizz Air,2023-07-19,2023-07-21,44
662,525,Ryanair,Wizz Air,2023-07-19,2023-07-21,44
663,555,Ryanair,Wizz Air,2023-07-19,2023-07-21,44
664,571,Ryanair,Ryanair,2023-07-19,2023-07-21,44
665,577,Wizz Air,Ryanair,2023-07-19,2023-07-21,44
666,468,Ryanair,Ryanair,2023-07-20,2023-07-22,45
667,470,Ryanair,Ryanair,2023-07-20,2023-07-22,45
668,488,Ryanair,Ryanair,2023-07-20,2023-07-22,45
669,551,Ryanair,Wizz Air,2023-07-20,2023-07-22,45
670,567,Ryanair,Wizz Air,2023-07-20,2023-07-22,45
671,496,Ryanair,Ryanair,2023-07-20,2023-07-22,45
672,512,Ryanair,Wizz Air,2023-07-20,2023-07-22,45
673,866,Ryanair,Eurowings,2023-07-20,2023-07-22,45
674,542,Ryanair,Ryanair,2023-07-20,2023-07-22,45
675,556,Ryanair,Ryanair,2023-07-20,2023-07-22,45
676,566,Ryanair,Ryanair,2023-07-20,2023-07-22,45
677,586,Ryanair,Ryanair,2023-07-20,2023-07-22,45
678,713,Ryanair,LOT,2023-07-20,2023-07-22,45
679,732,Ryanair,Ryanair,2023-07-20,2023-07-22,45
680,769,Lufthansa,Lufthansa,2023-07-20,2023-07-22,45
681,493,Ryanair,Ryanair,2023-07-21,2023-07-23,46
682,413,Wizz Air,Ryanair,2023-07-21,2023-07-23,46
683,519,Ryanair,Ryanair,2023-07-21,2023-07-23,46
684,540,Ryanair,Wizz Air,2023-07-21,2023-07-23,46
685,589,Ryanair,Wizz Air,2023-07-21,2023-07-23,46
686,592,Ryanair,Ryanair,2023-07-21,2023-07-23,46
687,515,Wizz Air,Wizz Air,2023-07-21,2023-07-23,46
688,539,Ryanair,Ryanair,2023-07-21,2023-07-23,46
689,548,Wizz Air,Wizz Air,2023-07-21,2023-07-23,46
690,476,Wizz Air,Ryanair,2023-07-21,2023-07-23,46
691,496,Wizz Air,Ryanair,2023-07-21,2023-07-23,46
692,578,Wizz Air,Ryanair,2023-07-21,2023-07-23,46
693,782,Eurowings,Ryanair,2023-07-21,2023-07-23,46
694,787,Air Serbia,Ryanair,2023-07-21,2023-07-23,46
695,529,Ryanair,Ryanair,2023-07-21,2023-07-23,46
696,411,Ryanair,Ryanair,2023-07-22,2023-07-24,47
697,454,Ryanair,Ryanair,2023-07-22,2023-07-24,47
698,454,Ryanair,Ryanair,2023-07-22,2023-07-24,47
699,559,Ryanair,Ryanair,2023-07-22,2023-07-24,47
700,484,Ryanair,Wizz Air,2023-07-22,2023-07-24,47
701,564,Ryanair,Wizz Air,2023-07-22,2023-07-24,47
702,654,Ryanair,Wizz Air,2023-07-22,2023-07-24,47
703,714,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-22,2023-07-24,47
704,755,Ryanair,Ryanair,2023-07-22,2023-07-24,47
705,770,Ryanair,Ryanair,2023-07-22,2023-07-24,47
706,771,Ryanair,Trenitalia,2023-07-22,2023-07-24,47
707,773,Ryanair,Aeroitalia,2023-07-22,2023-07-24,47
708,777,Ryanair,Wizz Air,2023-07-22,2023-07-24,47
709,1075,Ryanair,Austrian Airlines,2023-07-22,2023-07-24,47
710,1077,Austrian Airlines,Ryanair,2023-07-22,2023-07-24,47
711,393,Ryanair,Ryanair,2023-07-23,2023-07-25,48
712,401,Ryanair,Ryanair,2023-07-23,2023-07-25,48
713,400,Wizz Air,Ryanair,2023-07-23,2023-07-25,48
714,434,Ryanair,Ryanair,2023-07-23,2023-07-25,48
715,437,Wizz Air,Ryanair,2023-07-23,2023-07-25,48
716,439,Ryanair,Wizz Air,2023-07-23,2023-07-25,48
717,469,Wizz Air,Wizz Air,2023-07-23,2023-07-25,48
718,524,Ryanair,Ryanair,2023-07-23,2023-07-25,48
719,528,Wizz Air,Ryanair,2023-07-23,2023-07-25,48
720,608,Ryanair,Wizz Air,2023-07-23,2023-07-25,48
721,644,Wizz Air,Wizz Air,2023-07-23,2023-07-25,48
722,394,Wizz Air,Ryanair,2023-07-23,2023-07-25,48
723,546,Ryanair,Wizz Air,2023-07-23,2023-07-25,48
724,655,Ryanair,Wizz Air,2023-07-23,2023-07-25,48
725,672,Wizz Air,LOT,2023-07-23,2023-07-25,48
726,353,Wizz Air,Ryanair,2023-07-24,2023-07-26,49
727,361,Wizz Air,Ryanair,2023-07-24,2023-07-26,49
728,427,Ryanair,Ryanair,2023-07-24,2023-07-26,49
729,436,Ryanair,Ryanair,2023-07-24,2023-07-26,49
730,494,Wizz Air,Ryanair,2023-07-24,2023-07-26,49
731,551,Ryanair,Ryanair,2023-07-24,2023-07-26,49
732,568,Wizz Air,Wizz Air,2023-07-24,2023-07-26,49
733,581,Ryanair,Ryanair,2023-07-24,2023-07-26,49
734,641,Ryanair,Wizz Air,2023-07-24,2023-07-26,49
735,479,Wizz Air,Ryanair,2023-07-24,2023-07-26,49
736,558,Wizz Air,Wizz Air,2023-07-24,2023-07-26,49
737,631,Ryanair,Wizz Air,2023-07-24,2023-07-26,49
738,656,Wizz Air,Air Serbia,2023-07-24,2023-07-26,49
739,673,Wizz Air,Ryanair,2023-07-24,2023-07-26,49
740,679,Air Serbia,Ryanair,2023-07-24,2023-07-26,49
741,386,Ryanair,Ryanair,2023-07-25,2023-07-27,50
742,399,Ryanair,Ryanair,2023-07-25,2023-07-27,50
743,504,Ryanair,Ryanair,2023-07-25,2023-07-27,50
744,551,Ryanair,Wizz Air,2023-07-25,2023-07-27,50
745,596,Ryanair,Wizz Air,2023-07-25,2023-07-27,50
746,635,Ryanair,Ryanair,2023-07-25,2023-07-27,50
747,450,Ryanair,Wizz Air Malta,2023-07-25,2023-07-27,50
748,460,Ryanair,Wizz Air Malta,2023-07-25,2023-07-27,50
749,616,Ryanair,Trenitalia,2023-07-25,2023-07-27,50
750,627,Ryanair,Ryanair,2023-07-25,2023-07-27,50
751,673,Ryanair,Ryanair,2023-07-25,2023-07-27,50
752,685,Ryanair,Ryanair,2023-07-25,2023-07-27,50
753,692,Ryanair,ITA Airways,2023-07-25,2023-07-27,50
754,704,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-25,2023-07-27,50
755,724,Ryanair,Eurowings,2023-07-25,2023-07-27,50
756,364,Wizz Air,Ryanair,2023-07-26,2023-07-28,51
757,404,Ryanair,Ryanair,2023-07-26,2023-07-28,51
758,468,Wizz Air,Ryanair,2023-07-26,2023-07-28,51
759,498,Ryanair,Ryanair,2023-07-26,2023-07-28,51
760,518,Wizz Air,Wizz Air,2023-07-26,2023-07-28,51
761,588,Wizz Air,Ryanair,2023-07-26,2023-07-28,51
762,637,Ryanair,Ryanair,2023-07-26,2023-07-28,51
763,719,Ryanair,Ryanair,2023-07-26,2023-07-28,51
764,558,Ryanair,Wizz Air,2023-07-26,2023-07-28,51
765,608,Ryanair,Wizz Air,2023-07-26,2023-07-28,51
766,599,Ryanair,Ryanair,2023-07-26,2023-07-28,51
767,619,Ryanair,Ryanair,2023-07-26,2023-07-28,51
768,620,Ryanair,Ryanair,2023-07-26,2023-07-28,51
769,679,Wizz Air,Ryanair,2023-07-26,2023-07-28,51
770,696,Wizz Air,Eurowings,2023-07-26,2023-07-28,51
771,504,Ryanair,Ryanair,2023-07-27,2023-07-29,52
772,569,Ryanair,Wizz Air,2023-07-27,2023-07-29,52
773,627,Ryanair,Ryanair,2023-07-27,2023-07-29,52
774,607,Ryanair,Ryanair,2023-07-27,2023-07-29,52
775,710,Ryanair,Ryanair,2023-07-27,2023-07-29,52
776,744,Ryanair,Wizz Air,2023-07-27,2023-07-29,52
777,594,Ryanair,Wizz Air,2023-07-27,2023-07-29,52
778,627,Ryanair,Ryanair,2023-07-27,2023-07-29,52
779,666,Ryanair,Ryanair,2023-07-27,2023-07-29,52
780,737,Lufthansa,Lufthansa,2023-07-27,2023-07-29,52
781,737,Lufthansa,Lufthansa,2023-07-27,2023-07-29,52
782,749,Ryanair,Eurowings,2023-07-27,2023-07-29,52
783,754,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-27,2023-07-29,52
784,757,Lufthansa,Lufthansa,2023-07-27,2023-07-29,52
785,769,Ryanair,Ryanair,2023-07-27,2023-07-29,52
786,584,Ryanair,Wizz Air,2023-07-28,2023-07-30,53
787,506,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-28,2023-07-30,53
788,648,Ryanair,Ryanair,2023-07-28,2023-07-30,53
789,690,Ryanair,Ryanair,2023-07-28,2023-07-30,53
790,542,Wizz Air,Wizz Air,2023-07-28,2023-07-30,53
791,584,Wizz Air,Ryanair,2023-07-28,2023-07-30,53
792,648,Ryanair,Ryanair,2023-07-28,2023-07-30,53
793,753,Ryanair,Wizz Air,2023-07-28,2023-07-30,53
794,818,Ryanair,Ryanair,2023-07-28,2023-07-30,53
795,584,Wizz Air,Ryanair,2023-07-28,2023-07-30,53
796,643,Wizz Air,Ryanair,2023-07-28,2023-07-30,53
797,708,Wizz Air,Wizz Air,2023-07-28,2023-07-30,53
798,785,Wizz Air,Ryanair,2023-07-28,2023-07-30,53
799,522,Wizz Air,Ryanair,2023-07-28,2023-07-30,53
800,654,Ryanair,Wizz Air,2023-07-28,2023-07-30,53
801,724,Ryanair,Ryanair,2023-07-28,2023-07-30,53
802,635,Ryanair,Ryanair,2023-07-29,2023-07-31,54
803,544,Ryanair,Ryanair,2023-07-29,2023-07-31,54
804,741,Ryanair,Ryanair,2023-07-29,2023-07-31,54
805,742,Ryanair,Ryanair,2023-07-29,2023-07-31,54
806,829,Ryanair,Ryanair,2023-07-29,2023-07-31,54
807,581,Ryanair,Wizz Air,2023-07-29,2023-07-31,54
808,671,Ryanair,Wizz Air,2023-07-29,2023-07-31,54
809,771,Ryanair,Wizz Air,2023-07-29,2023-07-31,54
810,639,Ryanair,Wizz Air,2023-07-29,2023-07-31,54
811,915,Ryanair,Ryanair,2023-07-29,2023-07-31,54
812,1018,Lufthansa,Wizz Air,2023-07-29,2023-07-31,54
813,1068,Lufthansa,Ryanair,2023-07-29,2023-07-31,54
814,1097,Ryanair,Lufthansa,2023-07-29,2023-07-31,54
815,1136,Lufthansa,Ryanair,2023-07-29,2023-07-31,54
816,1150,Ryanair,Lufthansa,2023-07-29,2023-07-31,54
817,564,Ryanair,Wizz Air Malta,2023-07-29,2023-07-31,54
818,526,Wizz Air,Wizz Air,2023-07-30,2023-08-01,55
819,492,Wizz Air,Ryanair,2023-07-30,2023-08-01,55
820,566,Ryanair,Wizz Air,2023-07-30,2023-08-01,55
821,570,Wizz Air,Ryanair,2023-07-30,2023-08-01,55
822,587,Wizz Air,Wizz Air,2023-07-30,2023-08-01,55
823,612,Ryanair,Wizz Air,2023-07-30,2023-08-01,55
824,625,Ryanair,Ryanair,2023-07-30,2023-08-01,55
825,648,Ryanair,Ryanair,2023-07-30,2023-08-01,55
826,645,Wizz Air,Ryanair,2023-07-30,2023-08-01,55
827,715,Ryanair,Ryanair,2023-07-30,2023-08-01,55
828,729,Wizz Air,Ryanair,2023-07-30,2023-08-01,55
829,772,Ryanair,Ryanair,2023-07-30,2023-08-01,55
830,575,Wizz Air,Ryanair,2023-07-30,2023-08-01,55
831,881,Ryanair,Wizz Air,2023-07-30,2023-08-01,55
832,732,Wizz Air,Wizz Air Malta,2023-07-30,2023-08-01,55
833,568,Wizz Air,Ryanair,2023-07-31,2023-08-02,56
834,398,Kilka linii lotniczych,Kilka linii lotniczych,2023-07-31,2023-08-02,56
835,568,Wizz Air,Wizz Air,2023-07-31,2023-08-02,56
836,612,Ryanair,Ryanair,2023-07-31,2023-08-02,56
837,638,Wizz Air,Ryanair,2023-07-31,2023-08-02,56
838,668,Ryanair,Ryanair,2023-07-31,2023-08-02,56
839,641,Ryanair,Wizz Air,2023-07-31,2023-08-02,56
840,721,Wizz Air,Ryanair,2023-07-31,2023-08-02,56
841,726,Ryanair,Ryanair,2023-07-31,2023-08-02,56
842,828,Ryanair,Ryanair,2023-07-31,2023-08-02,56
843,528,Wizz Air,Ryanair,2023-07-31,2023-08-02,56
844,643,Wizz Air,Wizz Air,2023-07-31,2023-08-02,56
845,727,Ryanair,Wizz Air,2023-07-31,2023-08-02,56
846,601,Wizz Air,Ryanair,2023-07-31,2023-08-02,56
847,653,Wizz Air,Ryanair,2023-07-31,2023-08-02,56
848,712,Ryanair,Wizz Air,2023-07-31,2023-08-02,56
849,583,Ryanair,Ryanair,2023-08-01,2023-08-03,57
850,500,Ryanair,Ryanair,2023-08-01,2023-08-03,57
851,631,Ryanair,Ryanair,2023-08-01,2023-08-03,57
852,690,Ryanair,Wizz Air,2023-08-01,2023-08-03,57
853,734,Ryanair,Ryanair,2023-08-01,2023-08-03,57
854,656,Ryanair,Ryanair,2023-08-01,2023-08-03,57
855,623,Ryanair,Wizz Air,2023-08-01,2023-08-03,57
856,588,Ryanair,Wizz Air,2023-08-01,2023-08-03,57
857,718,Ryanair,Trenitalia,2023-08-01,2023-08-03,57
858,736,Kilka linii lotniczych,Kilka linii lotniczych,2023-08-01,2023-08-03,57
859,757,Ryanair,Wizz Air Malta,2023-08-01,2023-08-03,57
860,775,Ryanair,Ryanair,2023-08-01,2023-08-03,57
861,784,Lufthansa,Lufthansa,2023-08-01,2023-08-03,57
862,806,Ryanair,Wizz Air Malta,2023-08-01,2023-08-03,57
863,827,Kilka linii lotniczych,Kilka linii lotniczych,2023-08-01,2023-08-03,57
864,827,Ryanair,Wizz Air Malta,2023-08-01,2023-08-03,57
865,509,Wizz Air,Ryanair,2023-08-02,2023-08-04,58
866,491,Kilka linii lotniczych,Kilka linii lotniczych,2023-08-02,2023-08-04,58
867,576,Wizz Air,Ryanair,2023-08-02,2023-08-04,58
868,619,Ryanair,Ryanair,2023-08-02,2023-08-04,58
869,618,Wizz Air,Wizz Air,2023-08-02,2023-08-04,58
